the,wicked,and,of,to,in,gladiator,is,for,on
0.1043256815973595,0.0,0.048732698346186466,0.0501950823944616,0.14619809503855938,0.051313957171557456,0.0659219852637202,0.061274337191679996,0.0,0.06185455442798723
0.038351751114310544,0.12380686411977813,0.16123411422160489,0.0,0.0,0.0,0.14540371266701224,0.0,0.0,0.0
0.0686031737807846,0.11073215130578289,0.09613791318478004,0.0,0.09613791318478004,0.0,0.0,0.0,0.062492471100394006,0.0
0.09833884332107563,0.052909465057018754,0.13780836455326356,0.14194375538694898,0.045936121517754516,0.09673850421516715,0.0621389832398403,0.0,0.0,0.0
0.05351741462031339,0.0,0.07499729643823956,0.0,0.14999459287647912,0.0,0.0,0.0942982799305773,0.0,0.0
0.1312172471199452,0.14119821053219597,0.1838829257706515,0.0,0.061294308590217166,0.0,0.1658288026216144,0.0,0.07968620664421056,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0772548753535583,0.12469683362019199,0.16239312462949831,0.0,0.05413104154316611,0.056998238178107945,0.07322446414867291,0.0,0.0,0.0
0.03097508424619534,0.14999033687941923,0.13022196187311372,0.044709899291542704,0.13022196187311372,0.0,0.11743641733974712,0.054578443032864105,0.056432070133461215,0.0550952556958786
0.051963154092590044,0.0,0.0,0.07500439281730065,0.0,0.07667628016744328,0.09850443992023275,0.0,0.094669261681478,0.0
0.1696948080111158,0.0,0.0,0.0,0.1189019678055337,0.06259996563543987,0.0,0.0,0.0,0.07545886528770164
0.10786795722003142,0.0,0.05038736905368261,0.0,0.0,0.05305627197658471,0.0,0.0,0.0,0.0
0.07046421480994271,0.11373605135107098,0.04937295312078846,0.0,0.0,0.05198812476739679,0.0,0.0,0.0,0.06266720538201545
0.0,0.0,0.0,0.0,0.0,0.0,0.14967840421354323,0.04637524680829395,0.04795027184572441,0.09362876399108418
0.2389121675073594,0.15425092935643422,0.0,0.0689698782665313,0.06696050912164507,0.0,0.0,0.0,0.0,0.0
0.04192020922716691,0.0,0.0,0.0,0.058745408022186925,0.0,0.15893287477905008,0.0,0.0,0.07456330474643272
0.04069304064604434,0.13136499918527883,0.0,0.05873694272114113,0.11405140005198734,0.0,0.0,0.0,0.0,0.0
0.10725239609828434,0.1154104870873041,0.0,0.0,0.05009982763530476,0.0,0.0,0.0,0.0,0.0
0.030185446080539777,0.09744445332233591,0.0,0.0,0.21150375666348675,0.0,0.0,0.0,0.0,0.0
0.08973664801585833,0.14484362075605656,0.04191785695906175,0.08635147879202187,0.04191785695906175,0.0882762986543752,0.0,0.05270565736820428,0.0,0.053204736301694366
0.08343689497472154,0.08978347375344918,0.11692533338354319,0.12043406054584133,0.0,0.12311859907471612,0.0,0.0,0.0,0.0
0.03049476400634453,0.049221495681450456,0.08546843573156847,0.13204979364766312,0.042734217865784234,0.044997750991485126,0.0,0.053732113426788894,0.0,0.054240912049218895
0.059265145632668666,0.0,0.0,0.0,0.0,0.08745102159498894,0.11234652859860825,0.10442584591660332,0.0,0.05270733610492811
0.029703072020416752,0.0,0.08324954085491396,0.0,0.0,0.04382953867682938,0.0,0.0,0.054114650023632964,0.05283273275096803
0.060471411081915484,0.09760670057326726,0.1694847322175259,0.0,0.04237118305438148,0.13384646118600746,0.0,0.0,0.05508503034439975,0.0
0.16716905260647455,0.0,0.0,0.0,0.133865392442276,0.0,0.09054159452872167,0.0,0.04350822111388528,0.0
0.05770305476405184,0.09313830598211412,0.0,0.0,0.08086289545625712,0.0,0.0,0.0,0.0,0.0
0.14004398734647372,0.15069635160872016,0.06541746275756508,0.0,0.0,0.0,0.0,0.0,0.08504654959549172,0.08303188922423545
0.06394739955502492,0.0,0.13442022886123497,0.0,0.0,0.04718005296140917,0.12122248711652635,0.0,0.05825140147899495,0.0
0.12458026923693434,0.0,0.06983284561561542,0.0,0.06983284561561542,0.036765865329598454,0.0,0.04390236406476965,0.0,0.04431808310005402
